,Ticket,Survived
0,110152,1.0
180,26360,1.0
483,386525,1.0
479,382651,1.0
151,244373,1.0
152,248698,1.0
153,248706,1.0
465,370375,1.0
157,248733,1.0
158,248738,1.0
464,370373,1.0
461,370370,1.0
162,250644,1.0
454,36947,1.0
165,250648,1.0
166,250649,1.0
453,36928,1.0
168,250652,1.0
451,36866,1.0
445,367231,1.0
171,2620,1.0
444,367230,1.0
442,367228,1.0
174,2625,1.0
175,2626,1.0
441,367226,1.0
432,364516,1.0
484,392091,1.0
486,392096,1.0
489,4134,1.0
545,C 7077,1.0
116,230434,1.0
117,231919,1.0
562,C.A. 37671,1.0
243,3101265,1.0
559,C.A. 33595,1.0
122,234604,1.0
124,234818,1.0
126,236852,1.0
555,C.A. 31026,1.0
553,C.A. 29395,1.0
130,237668,1.0
133,237789,1.0
145,244270,1.0
134,237798,1.0
541,C 17369,1.0
533,A/5. 10482,1.0
530,A/5 3540,1.0
513,9234,1.0
510,7598,1.0
140,240929,1.0
141,24160,1.0
499,65306,1.0
143,243880,1.0
493,4138,1.0
419,35852,1.0
418,35851,1.0
114,230136,1.0
415,350417,1.0
289,33638,1.0
288,335677,1.0
285,330980,1.0
283,330959,1.0
218,27042,1.0
219,27267,1.0
220,27849,1.0
282,330958,1.0
280,330932,1.0
279,330931,1.0
224,28220,1.0
278,330923,1.0
277,330919,1.0
271,315153,1.0
269,315098,1.0
229,28551,1.0
257,31418,1.0
254,312991,1.0
233,2908,1.0
234,29103,1.0
251,3101298,1.0
236,29105,1.0
237,29106,1.0
248,3101281,1.0
239,2926,1.0
293,34218,1.0
296,343120,1.0
300,345572,1.0
195,2667,1.0
184,2649,1.0
185,2650,1.0
186,2651,1.0
187,2653,1.0
406,350046,1.0
189,2661,1.0
405,350043,1.0
191,2663,1.0
401,350034,1.0
393,349256,1.0
194,2666,1.0
196,2668,1.0
308,345774,1.0
383,349244,1.0
379,349240,1.0
344,347742,1.0
343,347470,1.0
202,2677,1.0
338,347089,1.0
335,347085,1.0
334,347083,1.0
332,347081,1.0
208,2687,1.0
311,345779,1.0
115,230433,1.0
560,C.A. 34260,1.0
59,11767,1.0
50,113804,1.0
602,PC 17608,1.0
661,STON/O 2. 3101286,1.0
54,11751,1.0
55,11752,1.0
17,112277,1.0
56,11753,1.0
57,11755,1.0
58,11765,1.0
662,STON/O 2. 3101288,1.0
567,CA. 2314,1.0
60,11769,1.0
599,PC 17603,1.0
62,11774,1.0
63,11813,1.0
64,11967,1.0
596,PC 17599,1.0
591,PC 17592,1.0
67,12749,1.0
589,PC 17585,1.0
69,13213,1.0
70,13214,1.0
51,113806,1.0
604,PC 17610,1.0
637,SO/C 14885,1.0
605,PC 17611,1.0
631,SC/PARIS 2146,1.0
28,113505,1.0
628,SC/AH Basle 541,1.0
627,SC/AH 3085,1.0
625,SC 1748,1.0
32,113572,1.0
33,113760,1.0
624,S.W./PP 752,1.0
23,113055,1.0
616,PP 9549,1.0
644,SOTON/O.Q. 392078,1.0
653,SOTON/OQ 392089,1.0
38,113783,1.0
655,STON/O 2. 3101269,1.0
40,113786,1.0
612,PC 17759,1.0
42,113788,1.0
660,STON/O 2. 3101285,1.0
45,113794,1.0
609,PC 17756,1.0
608,PC 17755,1.0
71,13502,1.0
663,STON/O 2. 3101289,1.0
14,112053,1.0
587,PC 17572,1.0
96,19952,1.0
579,PC 17475,1.0
98,19988,1.0
99,19996,1.0
100,2003,1.0
8,111369,1.0
578,PC 17474,1.0
7,111361,1.0
577,PC 17473,1.0
670,STON/O2. 3101283,1.0
572,F.C.C. 13531,1.0
672,SW/PP 751,1.0
4,110813,1.0
3,110564,1.0
106,220845,1.0
570,F.C.C. 13528,1.0
108,223596,1.0
673,W./C. 14258,1.0
109,226593,1.0
110,226875,1.0
111,228414,1.0
580,PC 17476,1.0
94,19947,1.0
93,19943,1.0
82,16988,1.0
669,STON/O2. 3101282,1.0
74,13567,1.0
75,13568,1.0
76,14311,1.0
77,14312,1.0
78,14313,1.0
11,111428,1.0
10,111427,1.0
586,PC 17569,1.0
581,PC 17477,1.0
81,16966,1.0
84,17453,1.0
9,111426,1.0
86,17464,1.0
87,17465,1.0
88,17466,1.0
89,17474,1.0
584,PC 17485,1.0
582,PC 17482,1.0
632,SC/PARIS 2149,1.0
83,17421,0.75
329,347077,0.75
610,PC 17757,0.75
80,1601,0.7142857142857143
113,230080,0.6666666666666666
634,SC/Paris 2123,0.6666666666666666
561,C.A. 34651,0.6666666666666666
1,110413,0.6666666666666666
613,PC 17760,0.6666666666666666
571,F.C.C. 13529,0.6666666666666666
416,35273,0.6666666666666666
423,363291,0.6666666666666666
588,PC 17582,0.6666666666666666
556,C.A. 31921,0.6666666666666666
155,248727,0.6666666666666666
252,31027,0.5
558,C.A. 33112,0.5
575,P/PP 3381,0.5
551,C.A. 2673,0.5
548,C.A. 2315,0.5
459,370365,0.5
585,PC 17558,0.5
476,376564,0.5
618,S.C./PARIS 2079,0.5
668,STON/O2. 3101279,0.5
457,36973,0.5
600,PC 17604,0.5
611,PC 17758,0.5
614,PC 17761,0.5
247,3101278,0.5
680,WE/P 5735,0.5
132,237736,0.5
43,113789,0.5
142,243847,0.5
49,113803,0.5
216,2699,0.5
72,13507,0.5
47,113798,0.5
170,250655,0.5
91,19877,0.5
150,244367,0.5
95,19950,0.5
92,19928,0.5
37,113781,0.5
188,2659,0.5
36,113776,0.5
240,29750,0.5
469,371110,0.3333333333333333
574,LINE,0.25
528,A/5 2817,0.0
534,A/5. 13032,0.0
538,A/5. 851,0.0
537,A/5. 3337,0.0
536,A/5. 3336,0.0
535,A/5. 2151,0.0
524,A/5 21172,0.0
525,A/5 21173,0.0
532,A/5 3902,0.0
136,239854,0.0
529,A/5 3536,0.0
531,A/5 3594,0.0
137,239855,0.0
526,A/5 21174,0.0
540,A4. 54510,0.0
527,A/5 2466,0.0
539,A/S 2816,0.0
242,3101264,0.0
135,239853,0.0
554,C.A. 29566,0.0
564,C.A. 6212,0.0
563,C.A. 5547,0.0
118,231945,0.0
119,233639,0.0
120,233866,0.0
121,234360,0.0
123,234686,0.0
557,C.A. 33111,0.0
125,236171,0.0
127,236853,0.0
128,237442,0.0
542,C 4001,0.0
552,C.A. 29178,0.0
129,237565,0.0
550,C.A. 24580,0.0
549,C.A. 24579,0.0
131,237671,0.0
547,C.A. 18723,0.0
546,C.A. 17248,0.0
522,A/4. 39886,0.0
544,C 7076,0.0
543,C 7075,0.0
523,A/5 21171,0.0
519,A/4 48871,0.0
521,A/4. 34244,0.0
480,382652,0.0
491,4136,0.0
490,4135,0.0
146,244278,0.0
488,4133,0.0
487,394140,0.0
147,244310,0.0
485,392092,0.0
148,244358,0.0
149,244361,0.0
482,384461,0.0
481,383121,0.0
478,382649,0.0
520,A/4. 20589,0.0
477,376566,0.0
154,248723,0.0
475,374910,0.0
474,374887,0.0
473,374746,0.0
472,373450,0.0
471,372622,0.0
470,371362,0.0
468,371060,0.0
467,370377,0.0
466,370376,0.0
492,4137,0.0
144,244252,0.0
494,4579,0.0
495,54636,0.0
566,CA 2144,0.0
518,A/4 45380,0.0
517,A.5. 18509,0.0
516,A.5. 11206,0.0
515,A./5. 3235,0.0
514,A./5. 2152,0.0
138,239856,0.0
512,8475,0.0
511,8471,0.0
139,239865,0.0
509,7553,0.0
508,7552,0.0
507,7546,0.0
506,7545,0.0
505,7540,0.0
504,7534,0.0
503,7267,0.0
502,695,0.0
501,693,0.0
500,6563,0.0
498,65304,0.0
497,65303,0.0
496,5727,0.0
565,C.A./SOTON 34068,0.0
573,Fa 265302,0.0
112,229236,0.0
568,CA. 2343,0.0
21,113050,0.0
652,SOTON/OQ 392086,0.0
651,SOTON/OQ 392082,0.0
650,SOTON/OQ 392076,0.0
649,SOTON/OQ 3101317,0.0
648,SOTON/OQ 3101316,0.0
647,SOTON/O2 3101287,0.0
646,SOTON/O2 3101272,0.0
645,SOTON/O.Q. 392087,0.0
22,113051,0.0
643,SOTON/O.Q. 3101312,0.0
642,SOTON/O.Q. 3101311,0.0
641,SOTON/O.Q. 3101310,0.0
640,SOTON/O.Q. 3101307,0.0
639,SOTON/O.Q. 3101306,0.0
638,SOTON/O.Q. 3101305,0.0
24,113056,0.0
636,SCO/W 1585,0.0
635,SC/Paris 2163,0.0
25,113059,0.0
633,SC/PARIS 2167,0.0
26,113501,0.0
27,113503,0.0
654,SOTON/OQ 392090,0.0
20,113043,0.0
656,STON/O 2. 3101273,0.0
12,112050,0.0
679,W/C 14208,0.0
678,W.E.P. 5734,0.0
677,W./C. 6609,0.0
676,W./C. 6608,0.0
675,W./C. 6607,0.0
674,W./C. 14263,0.0
2,110465,0.0
5,111240,0.0
671,STON/O2. 3101290,0.0
6,111320,0.0
13,112052,0.0
657,STON/O 2. 3101274,0.0
667,STON/O2. 3101271,0.0
666,STON/O 2. 3101294,0.0
665,STON/O 2. 3101293,0.0
664,STON/O 2. 3101292,0.0
15,112058,0.0
16,112059,0.0
18,112379,0.0
19,113028,0.0
659,STON/O 2. 3101280,0.0
658,STON/O 2. 3101275,0.0
630,SC/PARIS 2133,0.0
629,SC/PARIS 2131,0.0
29,113509,0.0
90,17764,0.0
595,PC 17597,0.0
594,PC 17596,0.0
593,PC 17595,0.0
592,PC 17593,0.0
66,12460,0.0
590,PC 17590,0.0
68,13049,0.0
73,13509,0.0
79,14973,0.0
85,17463,0.0
583,PC 17483,0.0
597,PC 17600,0.0
97,19972,0.0
101,211536,0.0
102,21440,0.0
576,PC 17318,0.0
103,218629,0.0
159,248740,0.0
104,219533,0.0
105,220367,0.0
107,2223,0.0
569,F.C. 12750,0.0
65,12233,0.0
598,PC 17601,0.0
30,113510,0.0
615,PP 4348,0.0
626,SC/AH 29037,0.0
31,113514,0.0
34,113767,0.0
623,S.P. 3464,0.0
622,S.O.P. 1166,0.0
621,S.O.C. 14879,0.0
620,S.O./P.P. 751,0.0
619,S.O./P.P. 3,0.0
35,113773,0.0
617,S.C./A.4. 23567,0.0
39,113784,0.0
61,11771,0.0
41,113787,0.0
44,113792,0.0
46,113796,0.0
607,PC 17754,0.0
606,PC 17612,0.0
48,113800,0.0
603,PC 17609,0.0
52,113807,0.0
601,PC 17605,0.0
53,11668,0.0
156,248731,0.0
160,248747,0.0
463,370372,0.0
312,345780,0.0
323,347068,0.0
322,347067,0.0
321,347064,0.0
320,347063,0.0
319,347062,0.0
318,347061,0.0
317,347060,0.0
316,347054,0.0
315,3460,0.0
314,345783,0.0
313,345781,0.0
209,2689,0.0
352,349205,0.0
310,345778,0.0
309,345777,0.0
210,2690,0.0
307,345773,0.0
306,345770,0.0
305,345769,0.0
304,345767,0.0
303,345765,0.0
302,345764,0.0
301,345763,0.0
211,2691,0.0
324,347069,0.0
325,347071,0.0
326,347073,0.0
327,347074,0.0
350,349203,0.0
349,349201,0.0
348,348124,0.0
347,348123,0.0
346,348121,0.0
345,347743,0.0
199,2671,0.0
200,2672,0.0
342,347468,0.0
341,347466,0.0
201,2674,0.0
339,3474,0.0
203,2678,0.0
337,347088,0.0
336,347087,0.0
204,2680,0.0
205,2683,0.0
333,347082,0.0
206,2685,0.0
331,347080,0.0
330,347078,0.0
207,2686,0.0
328,347076,0.0
299,345364,0.0
298,343276,0.0
297,343275,0.0
228,28425,0.0
267,315096,0.0
266,315094,0.0
265,315093,0.0
264,315090,0.0
263,315089,0.0
262,315088,0.0
261,315086,0.0
260,315084,0.0
259,315082,0.0
258,315037,0.0
230,28664,0.0
256,312993,0.0
255,312992,0.0
231,28665,0.0
253,31028,0.0
232,29011,0.0
235,29104,0.0
250,3101296,0.0
249,3101295,0.0
238,29108,0.0
246,3101277,0.0
245,3101276,0.0
244,3101267,0.0
268,315097,0.0
270,315151,0.0
212,2693,0.0
227,28424,0.0
295,343095,0.0
294,342826,0.0
213,2694,0.0
292,341826,0.0
291,3411,0.0
290,336439,0.0
214,2695,0.0
215,2697,0.0
287,335097,0.0
286,334912,0.0
284,330979,0.0
217,2700,0.0
221,28134,0.0
281,330935,0.0
222,28206,0.0
223,28213,0.0
225,28228,0.0
226,28403,0.0
276,330909,0.0
275,330877,0.0
274,324669,0.0
273,323951,0.0
272,323592,0.0
351,349204,0.0
353,349206,0.0
462,370371,0.0
422,362316,0.0
433,364846,0.0
177,2628,0.0
431,364512,0.0
430,364511,0.0
429,364506,0.0
428,364500,0.0
427,364499,0.0
426,364498,0.0
425,363592,0.0
424,363294,0.0
178,2629,0.0
421,36209,0.0
354,349207,0.0
420,358585,0.0
179,2631,0.0
181,2641,0.0
417,35281,0.0
182,2647,0.0
183,2648,0.0
414,350407,0.0
413,350406,0.0
412,350404,0.0
411,350060,0.0
410,350052,0.0
434,364848,0.0
435,364849,0.0
436,364850,0.0
437,364851,0.0
241,29751,0.0
460,370369,0.0
161,250643,0.0
458,370129,0.0
163,250646,0.0
456,36967,0.0
455,36963,0.0
164,250647,0.0
167,250651,0.0
452,368703,0.0
169,250653,0.0
450,36865,0.0
449,36864,0.0
448,368323,0.0
447,367655,0.0
446,367232,0.0
172,2623,0.0
443,367229,0.0
173,2624,0.0
176,2627,0.0
440,36568,0.0
439,365226,0.0
438,365222,0.0
409,350050,0.0
408,350048,0.0
407,350047,0.0
198,26707,0.0
377,349237,0.0
376,349236,0.0
375,349234,0.0
374,349233,0.0
373,349231,0.0
372,349228,0.0
371,349227,0.0
370,349225,0.0
369,349224,0.0
368,349223,0.0
367,349222,0.0
366,349221,0.0
365,349219,0.0
364,349218,0.0
363,349217,0.0
362,349216,0.0
361,349215,0.0
360,349214,0.0
359,349213,0.0
358,349212,0.0
357,349210,0.0
356,349209,0.0
355,349208,0.0
378,349239,0.0
380,349241,0.0
190,2662,0.0
381,349242,0.0
404,350042,0.0
403,350036,0.0
402,350035,0.0
192,2664,0.0
400,350029,0.0
399,350026,0.0
398,350025,0.0
397,349912,0.0
396,349910,0.0
395,349909,0.0
394,349257,0.0
193,2665,0.0
392,349254,0.0
391,349253,0.0
390,349252,0.0
389,349251,0.0
388,349249,0.0
387,349248,0.0
386,349247,0.0
385,349246,0.0
384,349245,0.0
197,2669,0.0
382,349243,0.0
340,347464,0.0
