Ticker,_ - Price,_ - Country,_ - Gap,_ - Sector,_ - Volume,_ - Company,_ - Industry,_ - Change from Open,_ - Change,_ - 50-Day Low,_ - 50-Day High,_ - 52-Week Low,_ - 52-Week High,_ - Average Volume,_ - Performance (YTD),_ - Average True Range,_ - 20-Day Simple Moving Average,_ - 50-Day Simple Moving Average,_ - 200-Day Simple Moving Average,_ - Volatility (Week),_ - Performance (Week),_ - Volatility (Month),_ - Performance (Month),_ - Relative Volume,_ - Relative Strength Index (14),_ - Performance (Quarter),_ - Performance (Half Year),_ - Performance (Year),_ - Short Ratio,_ - Shares Outstanding,_ - Market Cap,_ - EPS (ttm),_ - P/S,_ - Shares Float,_ - Float Short,_ - EPS growth past 5 years,_ - Sales growth quarter over quarter,_ - P/B,_ - Return on Assets,_ - Institutional Transactions,_ - EPS growth this year,_ - Return on Equity,_ - P/Cash,_ - Return on Investment,_ - Total Debt/Equity,_ - Insider Ownership,_ - Operating Margin,_ - Profit Margin,_ - Sales growth past 5 years,_ - EPS growth next year,_ - Quick Ratio,_ - P/E,_ - Gross Margin,_ - Forward P/E,_ - Dividend Yield
A,50.44,USA,0,Healthcare,1847978,Agilent Technologies Inc.,Medical Laboratories & Research,-0.0148,-0.0148,0.0728,-0.0544,0.4378,-0.0544,2569.36,0.2605,0.86,-0.0172,-0.0055,0.1062,0.0177,0.0031,0.0168,0.0063,0.79,46.51,0.0928,0.1439,0.4242,1.03,339,17356.8,2.68,2.54,330.21,0.008,0.158,-0.041,3.63,0.089,-0.0074,0.147,0.182,7.45,0.163,0.56,0.001,0.187,0.137,0.048,0.1194,2.3,19.1,0.512,16.11,0.0094
AA,9.02,USA,0.0056,Basic Materials,14600992,"Alcoa, Inc.",Aluminum,-0.0022,0.0033,0.1579,-0.0925,0.1899,-0.0925,26728.11,0.0502,0.3,-0.0192,0.052,0.0823,0.0345,-0.0694,0.0336,0.0766,0.6,49.61,0.1058,0.0652,0.0963,4.51,1070,9619.3,0.25,0.41,1068.5,0.1129,-0.439,-0.012,0.75,0.008,0.0252,-0.673,0.023,9.46,0.007,0.65,7.0E-4,0.049,0.013,-0.041,0.231,0.7,35.96,0.163,21.35,0.0133
AADR,36.4,USA,8.0E-4,Financial,6660,WCM/BNY Mellon Focused Growth ADR ETF,Exchange Traded Fund,0.0055,0.0064,0.0792,-0.0194,0.2727,-0.0194,10.07,0.1809,0.31,-0.0054,0.0158,0.0693,0.0072,-0.0134,0.0052,0.0183,0.72,51.91,0.061,0.04,0.229,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005
AAIT,29.95,USA,0.0033,Financial,250,iShares MSCI AC Asia Information Tech,Exchange Traded Fund,-0.0232,-0.02,0.0609,-0.0641,0.1791,-0.0641,1.64,0.1048,0.45,-0.0295,-0.0065,0.0492,0.014,-0.0097,0.0111,0.003,0.17,38.79,0.1129,0.0307,0.1947,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,0.036
AAMC,597.98,USA,-0.0325,Financial,543,Altisource Asset Management Corporation,Asset Management,0.0476,0.0135,0.8672,-0.1812,38.8653,-0.1812,4.94,6.1951,30.17,-0.0189,0.1281,0.9846,0.0283,-0.0781,0.0388,0.0631,0.12,54.38,0.7101,0.9832,,8.91,2.35,1386.5,-0.02,,,,,,393.33,,0.1176,,,,,,0.4634,,,,,,,,,
AAME,4.03,USA,0,Financial,17754,Atlantic American Corp.,Life Insurance,-0.0025,-0.0025,0.0747,-0.0098,0.6087,-0.0382,9.51,0.316,0.06,-0.0035,0.0038,0.0845,0.0239,0,0.013,0.0025,2.05,46.3,0.0576,0.0949,0.4175,1.35,21.27,85.92,0.38,0.57,5.24,0.0025,-0.167,0.274,0.87,0.027,-9.0E-4,0.5,0.082,1.82,0.031,0.42,0.7513,0.078,0.056,0.026,,,10.63,,,0.005
AAN,30.15,USA,0.0013,Services,1190872,"Aaron's, Inc.",Rental & Leasing Services,0,0.0013,0.1508,-0.002,0.2264,-0.023,763.14,0.0658,0.49,0.043,0.0742,0.0653,0.0177,0.0488,0.0171,0.0617,1.71,71.11,0.0949,0.0517,0.0255,5.28,76.1,2291.4,1.76,1.02,67.11,0.0601,0.204,0.019,1.89,0.074,0.0172,0.573,0.116,10.88,0.138,0.12,0.005,0.108,0.06,0.098,0.0926,,17.11,0.832,14.02,0.0023
AAOI,12.28,USA,-0.0055,Technology,12203,"Applied Optoelectronics, Inc.",Semiconductor - Integrated Circuits,-0.0215,-0.0269,0.3539,-0.0904,0.3539,-0.0904,110.95,0.2671,0.63,-0.0251,0.0654,0.0654,0.0377,-0.0381,0.0608,0.2397,0.12,,,,,0.12,12.6,159.06,-0.13,2.3,11.46,0.0011,0,0.256,,-0.048,,0.833,0.043,16.23,-0.004,,0.021,-0.007,-0.023,,38.52,0.9,,0.292,12.77,
AAON,27.57,USA,-0.0029,Industrial Goods,43938,AAON Inc.,General Building Materials,0.019,0.016,0.1558,-0.054,1.2639,-0.054,90.54,0.956,1.07,0.0057,0.0389,0.2614,0.0558,-0.056,0.0381,0.0044,0.53,54.09,0.0944,0.317,1.1312,11.42,55.14,1495.92,0.78,4.78,28.02,0.0369,0.065,0.095,9.79,0.163,0.0094,1,0.229,49.53,0.198,0,0.203,0.158,0.105,0.029,0.1649,1.6,34.78,0.252,24.01,0.0048
AAP,98.92,USA,-0.001,Services,220670,Advance Auto Parts Inc.,Auto Parts Stores,-0.0067,-0.0077,0.2545,-0.038,0.4159,-0.038,749.1,0.3808,2.11,-0.0031,0.1151,0.1903,0.0182,0.0119,0.0189,0.2082,0.32,62.29,0.2183,0.1687,0.2613,3.3,72.75,7251.42,5.53,1.13,72.26,0.0342,0.18,0.043,4.94,0.085,0.0089,0.022,0.306,12.78,0.231,0.41,0.007,0.106,0.063,0.051,0.2562,0.3,18.03,0.501,14.45,0.0024
AAPL,527.87,USA,0.0047,Consumer Goods,8750589,Apple Inc.,Electronic Equipment,0.0092,0.0139,0.1872,-0.0154,0.397,-0.0899,12913.68,0.0029,8.53,0.0176,0.0649,0.1672,0.0151,-6.0E-4,0.0173,0.0501,0.74,64.13,0.0517,0.213,-0.0169,1.42,904.16,470732.83,39.63,2.75,899.28,0.0203,0.424,0.042,3.81,0.186,6.0E-4,-0.1,0.291,11.61,0.255,0.14,4.0E-4,0.287,0.217,0.354,0.1,1.6,13.14,0.376,10.89,0.0234